Id	text	size	colour
ENSDARG00000030251	NA	1	NA
ENSDARG00000098909	NA	1	NA
ENSDARG00000075666	NA	1	NA
ENSDARG00000053665	NA	1	NA
ENSDARG00000008249	NA	1	NA
ENSDARG00000100973	NA	1	NA
ENSDARG00000109443	NA	1	NA
ENSDARG00000078523	NA	1	NA
ENSDARG00000101952	NA	1	NA
ENSDARG00000003311	NA	1	NA
ENSDARG00000087349	NA	1	NA
ENSDARG00000010098	NA	1	NA
ENSDARG00000008192	NA	1	NA
ENSDARG00000014106	NA	1	NA
ENSDARG00000014854	NA	1	NA
ENSDARG00000045675	NA	1	NA
ENSDARG00000041362	NA	1	NA
ENSDARG00000101316	NA	1	NA
ENSDARG00000068179	NA	1	NA
ENSDARG00000110963	NA	1	NA
ENSDARG00000100642	NA	1	NA
ENSDARG00000038788	NA	1	NA
ENSDARG00000100081	NA	1	NA
ENSDARG00000054754	NA	1	NA
ENSDARG00000071501	NA	1	NA
ENSDARG00000029668	NA	1	NA
ENSDARG00000076171	NA	1	NA
ENSDARG00000042409	NA	1	NA
ENSDARG00000058608	NA	1	NA
ENSDARG00000038863	NA	1	NA
ENSDARG00000020647	NA	1	NA
ENSDARG00000018840	NA	1	NA
ENSDARG00000104100	NA	1	NA
ENSDARG00000102742	NA	1	NA
ENSDARG00000078186	NA	1	NA
ENSDARG00000068726	NA	1	NA
ENSDARG00000076767	NA	1	NA
ENSDARG00000115359	NA	1	NA
ENSDARG00000035682	NA	1	NA
ENSDARG00000059455	NA	1	NA
ENSDARG00000014571	NA	1	NA
ENSDARG00000054666	NA	1	NA
ENSDARG00000021633	NA	1	NA
ENSDARG00000036967	NA	1	NA
ENSDARG00000043177	NA	1	NA
ENSDARG00000099184	NA	1	NA
ENSDARG00000033042	NA	1	NA
ENSDARG00000033345	NA	1	NA
ENSDARG00000008278	NA	1	NA
ENSDARG00000060123	NA	1	NA
ENSDARG00000045006	NA	1	NA
ENSDARG00000031434	NA	1	NA
ENSDARG00000101559	NA	1	NA
ENSDARG00000055162	NA	1	NA
ENSDARG00000074781	NA	1	NA
ENSDARG00000097572	NA	1	NA
ENSDARG00000110470	NA	1	NA
ENSDARG00000100422	NA	1	NA
ENSDARG00000079144	NA	1	NA
ENSDARG00000024785	NA	1	NA
ENSDARG00000074531	NA	1	NA
ENSDARG00000078142	NA	1	NA
ENSDARG00000077778	NA	1	NA
ENSDARG00000091428	NA	1	NA
ENSDARG00000110183	NA	1	NA
ENSDARG00000113859	NA	1	NA
ENSDARG00000045302	NA	1	NA
ENSDARG00000100307	NA	1	NA
ENSDARG00000014717	NA	1	NA
ENSDARG00000016396	NA	1	NA
ENSDARG00000013813	NA	1	NA
ENSDARG00000104370	NA	1	NA
ENSDARG00000063390	NA	1	NA
ENSDARG00000041998	NA	1	NA
ENSDARG00000062831	NA	1	NA
ENSDARG00000079191	NA	1	NA
ENSDARG00000102858	NA	1	NA
ENSDARG00000078386	NA	1	NA
ENSDARG00000103195	NA	1	NA
ENSDARG00000045036	NA	1	NA
ENSDARG00000101457	NA	1	NA
ENSDARG00000045808	NA	1	NA
ENSDARG00000012504	NA	1	NA
ENSDARG00000052783	NA	1	NA
ENSDARG00000039489	NA	1	NA
ENSDARG00000063726	NA	1	NA
ENSDARG00000007377	NA	1	NA
ENSDARG00000012741	NA	1	NA
ENSDARG00000005625	NA	1	NA
ENSDARG00000032197	NA	1	NA
ENSDARG00000016837	NA	1	NA
ENSDARG00000017494	NA	1	NA
ENSDARG00000042259	NA	1	NA
ENSDARG00000059775	NA	1	NA
ENSDARG00000016260	NA	1	NA
ENSDARG00000042989	NA	1	NA
ENSDARG00000062959	NA	1	NA
ENSDARG00000030307	NA	1	NA
ENSDARG00000052091	NA	1	NA
ENSDARG00000003398	NA	1	NA
ENSDARG00000037067	NA	1	NA
ENSDARG00000068701	NA	1	NA
ENSDARG00000104871	NA	1	NA
ENSDARG00000075012	NA	1	NA
ENSDARG00000071570	NA	1	NA
ENSDARG00000045956	NA	1	NA
ENSDARG00000062849	NA	1	NA
ENSDARG00000098529	NA	1	NA
ENSDARG00000099217	NA	1	NA
ENSDARG00000088891	NA	1	NA
ENSDARG00000053097	NA	1	NA
ENSDARG00000089314	NA	1	NA
ENSDARG00000087616	NA	1	NA
ENSDARG00000061941	NA	1	NA
ENSDARG00000045801	NA	1	NA
ENSDARG00000034497	NA	1	NA
ENSDARG00000078256	NA	1	NA
ENSDARG00000076657	NA	1	NA
ENSDARG00000036855	NA	1	NA
ENSDARG00000076472	NA	1	NA
ENSDARG00000101361	NA	1	NA
ENSDARG00000102025	NA	1	NA
ENSDARG00000012914	NA	1	NA
ENSDARG00000040380	NA	1	NA
ENSDARG00000075819	NA	1	NA
ENSDARG00000007294	NA	1	NA
ENSDARG00000006299	NA	1	NA
ENSDARG00000073848	NA	1	NA
ENSDARG00000101637	NA	1	NA
ENSDARG00000062449	NA	1	NA
ENSDARG00000051876	NA	1	NA
ENSDARG00000079973	NA	1	NA
ENSDARG00000104681	NA	1	NA
ENSDARG00000076160	NA	1	NA
ENSDARG00000060016	NA	1	NA
ENSDARG00000091062	NA	1	NA
ENSDARG00000103283	NA	1	NA
ENSDARG00000060705	NA	1	NA
ENSDARG00000109824	NA	1	NA
ENSDARG00000115416	NA	1	NA
ENSDARG00000107506	NA	1	NA
ENSDARG00000107283	NA	1	NA
ENSDARG00000032161	NA	1	NA
ENSDARG00000020053	NA	1	NA
ENSDARG00000076888	NA	1	NA
ENSDARG00000076811	NA	1	NA
ENSDARG00000056653	NA	1	NA
ENSDARG00000071498	NA	1	NA
ENSDARG00000089232	NA	1	NA
ENSDARG00000034643	NA	1	NA
ENSDARG00000104315	NA	1	NA
ENSDARG00000056467	NA	1	NA
